epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,200.944,1.15021,1.18818,1.18235,0.76382,0.77661,0.7933,0.45936,1.51542,1.32579,1.52634,0.000202188,0.000202188,0.000202188
43,203.509,1.12433,1.07387,1.17111,0.74993,0.78571,0.78662,0.45765,1.51681,1.323,1.51441,0.000191875,0.000191875,0.000191875
44,209.48,1.20137,1.11618,1.28237,0.76374,0.74212,0.78691,0.47819,1.51217,1.34433,1.4887,0.000181563,0.000181563,0.000181563
45,212.284,1.17412,1.1101,1.207,0.76812,0.75574,0.79635,0.49334,1.49389,1.34992,1.48425,0.00017125,0.00017125,0.00017125
46,216.973,1.12954,1.06875,1.1821,0.81781,0.74274,0.80081,0.4767,1.50678,1.35755,1.49095,0.000160938,0.000160938,0.000160938
47,220.538,1.14725,1.32134,1.21668,0.80578,0.73219,0.77935,0.45645,1.52788,1.36284,1.50945,0.000150625,0.000150625,0.000150625
48,225.48,1.04659,0.98407,1.15287,0.7848,0.7416,0.77937,0.45726,1.54716,1.3715,1.53406,0.000140313,0.000140313,0.000140313
49,228.186,1.1711,1.15646,1.13211,0.79167,0.75417,0.79711,0.46452,1.54642,1.35258,1.53348,0.00013,0.00013,0.00013
50,233.363,1.05706,1.13274,1.12448,0.78909,0.74594,0.80793,0.48263,1.5272,1.34437,1.53667,0.000119688,0.000119688,0.000119688
51,274.372,1.01504,1.38462,1.10417,0.79088,0.74854,0.81201,0.49433,1.5119,1.33486,1.52905,0.000109375,0.000109375,0.000109375
52,285.686,1.09637,1.09391,1.21718,0.79124,0.7611,0.80691,0.50644,1.44732,1.31521,1.46344,9.90625e-05,9.90625e-05,9.90625e-05
53,294.43,1.04294,1.02786,1.17371,0.77605,0.75998,0.80242,0.50368,1.44862,1.31498,1.45276,8.875e-05,8.875e-05,8.875e-05
54,298.843,1.02735,1.01528,1.13594,0.80793,0.71779,0.79376,0.49805,1.45617,1.29917,1.44285,7.84375e-05,7.84375e-05,7.84375e-05
55,302.919,1.01326,1.03983,1.14621,0.79608,0.72466,0.78768,0.48785,1.45951,1.27762,1.43815,6.8125e-05,6.8125e-05,6.8125e-05
56,308.325,1.03394,0.97526,1.13262,0.81239,0.73277,0.80191,0.4852,1.49505,1.24477,1.45662,5.78125e-05,5.78125e-05,5.78125e-05
57,312.358,0.99091,0.98223,1.11015,0.8009,0.76702,0.81705,0.48404,1.50829,1.21141,1.46733,4.75e-05,4.75e-05,4.75e-05
58,315.254,1.00677,1.02544,1.10402,0.80104,0.72543,0.80611,0.47359,1.52251,1.17637,1.48378,3.71875e-05,3.71875e-05,3.71875e-05
59,318.916,0.95365,1.2487,1.10501,0.80686,0.73897,0.81189,0.46973,1.52478,1.16938,1.48645,2.6875e-05,2.6875e-05,2.6875e-05
60,322.448,1.10971,1.37648,1.14799,0.78773,0.76559,0.81512,0.46639,1.53372,1.16729,1.4978,1.65625e-05,1.65625e-05,1.65625e-05
